,Estacao,N. Lab.,Long (X) 4326,Lat (Y) 4326,Laboratorio,Cod análise,Tipo de amostra,As (PPM),Bi (PPM)
44,AF-0041,CCG 566,-44.8221982,-19.59608693,Acme,ICP14B/1F04,Sed. Cor.,77.6,0.29
45,AF-0042,CCG 567,-44.81533821,-19.62454673,Acme,ICP14B/1F04,Sed. Cor.,10.8,0.3
46,AF-0043,CCG 568,-44.80916545,-19.61826859,Acme,ICP14B/1F04,Sed. Cor.,16.9,0.26
47,AF-0044,CCG 569,-44.85143991,-19.60054157,Acme,ICP14B/1F04,Sed. Cor.,9.4,0.26
48,AF-0045,CCG 570,-44.80113423,-19.71973616,Acme,ICP14B/1F04,Sed. Cor.,51.1,0.32
49,AF-0046,CCG 571,-44.80324937,-19.70690604,Acme,ICP14B/1F04,Sed. Cor.,10.6,0.18
50,AF-0047,CCG 572,-44.80407174,-19.69763503,Acme,ICP14B/1F04,Sed. Cor.,14.4,0.21
51,AF-0048,CCG 573,-44.9939342,-19.62586133,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.35
52,AF-0049,CCG 574,-44.83523692,-19.58326668,Acme,ICP14B/1F04,Sed. Cor.,11.9,0.18
53,AF-0050A,CCG 575,-44.84398707,-19.57634301,Acme,ICP14B/1F04,Sed. Cor.,21.6,0.32
54,AF-0050B,CCH139,-44.84398707,-19.57634301,Acme,ICP14B/1F04,Sed. Cor.,21,0.3
55,AF-0051,CCG 576,-44.86933194,-19.56175015,Acme,ICP14B/1F04,Sed. Cor.,16.6,0.35
